Kompanija,Vaistu pavadinimas,Kiekis,Iprastine kaina,Kaina su nuolaida
URBAN,"FOOD milteliai GARŠVOS LAPŲ MILTELIAI,",50,"5,49",
URBAN,"FOOD milteliai GARŠVOS LAPŲ MILTELIAI - EKOLOGIŠKI,",50,"6,99",
URBAN,"FOOD milteliai ŠALTMĖTĖS LAPŲ MILTELIAI,",50,"5,49",
URBAN,"FOOD milteliai PIPIRMĖTĖS LAPŲ MILTELIAI,",50,"5,49",
URBAN,"FOOD milteliai PIPIRMĖTĖS LAPŲ MILTELIAI - EKOLOGIŠKI,",50,"6,99",
URBAN,"FOOD milteliai PETRAŽOLIŲ LAPŲ MILTELIAI - EKOLOGIŠKI,",50,"6,99",
URBAN,"FOOD DŽIOVINTOS JUODŲJŲ SERBENTŲ UOGOS,",50,"2,69",
URBAN,"FOOD DŽIOVINTOS GERVUOGIŲ UOGOS,",50,"5,99",
EQUA,"gertuvė MISMATCH BLUEBERRY PIE, stiklas,",1,"25,00",
EQUA,"gertuvė MISMATCH CHOOSE YOURSELF, stiklas,",1,"25,00",
EQUA,"gertuvė MISMATCH SIENNA, stiklas,",1,"25,00",
EQUA,"gertuvė MISMATCH LILA, stiklas,",1,,
EQUA,"gertuvė MISMATCH SAGE, stiklas,",1,"25,00",
EQUA,"gertuvė MIDNIGHT 600 ml, pastikinė,",1,"11,99",
EQUA,"gertuvė OLIVE 600 ml, pastikinė,",1,"11,99",
Natūralus,augalinis argano aliejus,50,"11,99",
Valomosios,"putos sausai veido odai,",150,"6,49",
YOPE,"natūralus drėkinantis skystas muilas su TGA formule, ""Imbieras ir Sandalmedis"",",500,"9,89","8,41"
YOPE,"natūralus drėkinantis skystas muilas su TGA formule, ""Arbata ir mėta"",",500,"9,89","8,41"
EARTH,"LINE Hydro E Dieninis ir naktinis drėkinantis kremas sausai ir dehidratuotai odai,",50,"21,95",
EARTH,"LINE ACEQ10 Anti-Age 30+ Dieninis ir naktinis kremas, drėkinantis, maitinantis",50,"23,95",
EARTH,"LINE White Tea Lift Intense Veido kaukė, drėkinanti, maitinanti, visų tipų odai,",100,"22,95",
EARTH,"LINE Argan Repair Kūno losjonas, visų tipų odai,",200,"19,95",
EARTH,"LINE Aloe Vera Rankų kremas, drėkinantis, apsaugantis, visų tipų odai,",100,"12,95",
Mother-K,"ekologiški bambukiniai, vienkartiniai įklotai į liemenėlę (",32,"9,99",
Golden,"Rose Nude lūpų daž. Creamy Nr.01, 3.",5,"5,59","4,19"
Golden,"Rose Nude lūpų daž. Creamy Nr.03, 3.",5,"5,59","4,19"
Golden,"Rose Nude lūpų daž. Creamy Nr.04, 3.",5,"5,59","4,19"
Golden,"Rose Nude lūpų daž. Matte Nr.02, 4.",2,"5,49","4,12"
Golden,"Rose Nude lūpų daž. Matte Nr.03, 4.",2,"5,49","4,12"
Lūpų,balzamas Golden Rose SPF15 Nr.,4,"2,99","2,24"
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",3,"4,59","3,44"
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",4,"4,59","3,44"
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",8,"4,59","3,44"
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",12,"4,59","3,44"
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",14,"4,59","3,44"
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",20,"4,59","3,44"
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",24,"3,99","2,99"
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",25,"4,59","3,44"
Nagų,priež. Golden Rose 11ml Nr.02 4in,1,"4,49",
SEA LINE,LINE Dead Sea Treatment Mineralinis dieninis ir naktinis kremas,75,"19,00",
SEA LINE,LINE Dead Sea Treatment Mineralinis kūno sviestas,225,"23,99",
SEA LINE,LINE Dead Sea Treatment Mineralinis kūno sviestas,50,"10,99",
SMARTSLEEP®,RELAX & SLEEP (,30,"19,99",
Golden,Rose Miss Beauty Lūpų aliejus Strawberry,0,"6,50","4,88"
Golden,Rose Miss Beauty Glow Shine Lūpų blizgesys Nr.,1,"6,99","5,24"
Golden,Rose Miss Beauty Glow Shine Lūpų blizgesys Nr.,2,"6,99","5,24"
Golden,Rose Miss Beauty Glow Shine Lūpų blizgesys Nr.,3,"6,99","5,24"
Golden,Rose Miss Beauty Glow Shine Lūpų blizgesys Nr.,4,"6,99","5,24"
Golden,"Rose Just romance kūno losjonas,",250,"9,90","7,42"
Golden,"Rose Just Romance rankų kremas,",50,"5,55","4,16"
Golden,"Rose Love Whisper kūno losjonas,",250,"9,90","7,42"
Golden,"Rose Love Whisper rankų kremas,",50,"5,55","4,16"
Golden,"Rose Spring Breeze kūno losjonas,",250,"9,90","7,42"
Proto-Col,"""Drėkinamasis veido gelis""",0,"29,95",
Proto-Col,"""Collagen veido kaukė""",0,"29,95",
EQUACARE,Duetas namams,0,"27,99",
EQUACARE,Namų valiklio rinkinys,0,"16,39",
EQUACARE,Indų ploviklio rinkinys,0,"16,39",
EQUA,"gertuvė MISMATCH BRONZE, stiklinė,",1,"25,00",
EQUA,"gertuvė MISMATCH GOLD, stiklas,",1,"25,00",
EQUA,"gertuvė CINNAMON, stiklinė,",1,"23,00",
EQUA,"gertuvė PEPPER, stiklinė,",1,"23,00",
EQUA,"gertuvė GINGER, stiklinė,",1,"23,00",
EQUA,"gertuvė ACTIVE BLACK, stiklinė,",1,"23,00",
EQUA,"gertuvė MISMATCH GINKGO, stiklinė,",1,"23,00",
EQUA,"gertuvė MISMATCH ASH, stiklinė,",1,"23,00",
EQUA,"gertuvė VELVET WHITE, stiklinė,",1,"23,00",
EQUA,"gertuvė VELVET BLACK, stiklinė,",1,"23,00",
EQUA,"gertuvė TIMELESS DARK 600 ml.,",1,"23,00",
EQUA,"gertuvė TIMELESS STEEL 600 ml.,",1,"23,00",
EQUA,"gertuvė TIMELESS MATCHA 1000 ml.,",1,"25,00",
EQUA,"gertuvė TIMELESS OFF-WHITE 1000 ml.,",1,"25,00",
EQUA,"gertuvė TIMELESS STEEL 1000 ml.,",1,"25,00",
Olimp,BCAA Xplode Braškių Skonio Milteliai,500,"38,00",
Olimp,BCAA Xplode Ananasų Skonio Milteliai,500,"38,00",
Olimp,BCAA Xplode Kolos Skonio Milteliai,500,"38,00",
Olimp,BCAA Xplode Mojito Skonio Milteliai,500,"38,00",
Olimp,BCAA Xplode Šaltos Persikų Arbatos Skonio Milteliai,500,"38,00",
Olimp,Redweiler Vaisių Punšo Skonio,480,"45,00",
Olimp,Redweiler Apelsinų Skonio,480,"45,00",
Golden,Rose Nude lūpų daž. Matte mini(,4,"4,99",
H DROP,DROP,5,"29,50",
TICK,"TWISTER, erkių traukiklis,",1,"6,24",
Maisto,"papildas „Hair Care Panda Bestie“ plaukų priežiūrai,",60,"25,99",
URBAN,"FOOD milteliai AVIEČIŲ MILTELIAI,",50,"8,50",
URBAN,"FOOD milteliai BRAŠKIŲ MILTELIAI,",50,"7,99",
URBAN,"FOOD milteliai BRUKNIŲ MILTELIAI,",50,"6,30",
ORTHOMOL,"AURINOR, milteliai ir kapsulės,",30,"69,95",
ORTHOMOL,"FERTIL PLUS, tabletės ir kapsulės,",30,"74,95",
ORTHOMOL,"OSTEO,",30,"51,95",
DRIU,"BEAUTY veido tonikas mišriai/riebiai odai,",120,"24,25",
EQUA,"gertuvė TIMELESS NAVY 600 ml.,",1,"24,49",
EQUA,"gertuvė TIMELESS LATTE 600 ml.,",1,"24,49",
EQUA,"gertuvė TIMELESS LATTE 1000 ml.,",1,"23,29",
EQUA,"termo gertuvė TIMELESS OFF WHITE, nerūdijantis plienas,",1,"32,59",
EQUA,"termo gertuvė TIMELESS LATTE, nerūdijantis plienas,",1,"32,59",
EQUA,"termo gertuvė TIMELESS STEEL, nerūdijantis plienas,",1,"32,59",
EQUA,"termo gertuvė TIMELESS STEEL, nerūdijantis plienas,",1,"36,29",
EQUA,"termo gertuvė TIMELESS MATCHA, nerūdijantis plienas,",1,"32,59",
EQUA,"termo gertuvė TIMELESS LILAC, nerūdijantis plienas,",1,"32,59",
EQUA,"gertuvė TIMELESS FLWR PWR 600 ml.,",1,"24,19",
EQUA,"gertuvė TIMELESS AVOCADO 600 ml.,",1,"24,19",
SAPIENS,"Vision PRO,",30,"12,99",
UNDEVIT,N,50,"4,49",
SAPIENS,"guminukai plaukams,",60,"14,99",
SAPIENS,"guminukai miegui, su melatoninu,",60,"14,99",
EQUA,"termo puodelis MATCHA, nerūdijantis plienas,",1,"26,99",
EQUA,"termo puodelis BROWN GOLD, nerūdijantis plienas,",1,"26,99",
EQUA,"termo puodelis BROWN SILVER, nerūdijantis plienas,",1,"26,99",
AMARIN,"FORTE,",45,"8,49",
KANAPŪKIS,Chia sėklos,200,"3,89",
KANAPŪKIS,Chia sėklos,1,"9,99",
Noughty,Frizz Magic glotninamasis nuo karščio apsaugantis serumas,75,"18,99","13,29"
Kabrita®,"Ožkos pieno pagrindu pagaminti sausainiai nuo 6 mėn,",115,"5,69",
Pierre,Cardin kremas depil.,100,"4,29","3,00"
Pierre,Cardin vyr. dušo gelis,300,"4,99","3,49"
Pierre,Cardin vyr. dušo gelis,300,"4,99","3,49"
Pierre,Cardin vyr. dušo gelis,300,"4,99","3,49"
Pierre,Cardin vyr. pl. šampūnas,400,"5,99","4,19"
Victoria,Beauty regeneruojantis kelių žingsnių rinkinys veidui (,1,"3,49",
RAW POWDERS,POWDERS SPIRULINA 500 mg,120,,
ELLIPS,"HAIR VITALITY, tepami vitaminai intensyviam maitinimui,",50,,
ELLIPS,"SMOOTH & SILKY PRO KERATIN, tepami vitaminai drėgmės atstatymui su keratinu,",50,,
RAW POWDERS,"POWDERS SPIRULINA milteliai,",125,,
VITAMINUM,"A+E,",30,,
NORDAID,"D400+PROBIOTICS, gyvybingos bakterijos, suspencijos pavidalo lašai, 7,",5,,
ELLIPS,"HAIR REPAIR PRO KERATIN, tepami vitaminai pažeistiems plaukams su keratinu,",50,,
JAMIESON,"MULTI COMPLETE WOMEN 50+,",90,,
JAMIESON,"MULTI COMPLETE WOMEN, moterims, 90 tablečių (Galioja iki 2023.10.",31,,
DEFENDYL,"IMUNOGLUKAN P4H JUNIOR, skystas maisto papildas,",120,,
RAW POWDERS,"POWDERS GABA, milteliai,",125,,
WELLWOMAN,,30,,
WELLWOMAN,"VEGAN,",60,,
NOW EVE™,EVE™ Multivitaminai Moterims,90,,
ROYAL,"GREEN BIO VITAMINŲ B KOMPLEKSAS, odai, plaukams, nagams,",60,,
WELLWOMAN,"SPORT,",30,,
WELLMAN,"50+,",30,,
GLUKOZIN,,30,,
WELLWOMAN,"50+,",30,,
DOPPELHERZ,"AKTIV SPORT DIRECT,",20,,
PREGNACARE,"NEW MUM,",56,,
VITAKUR,"PLUS 1000,",30,,
DOPPELHERZ,"AKTIV MEN ACTIVE,",30,,
GLUREGUL,,60,,
WELLMAN,"ORIGINAL,",30,,
PREGNACARE,"CONCEPTION,",30,,
PREGNAWISH,,30,,
WELLWOMAN,"PLUS OMEGA 3-6-9, 28 tabletės ir",28,,
WELLMAN,"PLUS OMEGA 3-6-9, 28 tabletės ir",28,,
PREGNACARE,"PLUS, 28 tabletės,",28,,
PREGNACARE,"BREAST FEEDING, 56 tabletės,",28,,
ELEVIT,"BREASTFEEDING,",30,,
SAPIENS,"multivitaminai moterims (rytas + vakaras),",60,,
JAMIESON,"BABY-D, vitaminas D3, 400 TV (10 mcg), lašai kūdikiams, 11,",4,,
ULTRA,"VITAMIN D3 2000IU EXTRA STRENGHT, tabletės N",96,,
DOPPELHERZ,"AKTIV HEIBER HOLUNDER (HOT ELDERBERRY), granulės paketėliuose,",10,,
ELLIPS,"HAIR REPAIR PRO KERATIN, tepami vitaminai pažeistiems plaukams su keratinu,",6,,
ELLIPS,"NUTRI COLOR, tepami vitaminai dažytiems plaukams,",50,,
ELLIPS,"SILKY BLACK PRO KERATIN, tepami vitaminai tamsiems plaukams su keratinu,",6,,
ELLIPS,"SMOOTH & SHINY, tepami vitaminai plaukams apimčiai suteikti,",50,,
ELLIPS,"HAIR TREATMENT, tepami vitaminai pažeistiems plaukams,",50,,
RAW POWDERS,"POWDERS BETAINAS HCL, 650 mg,",120,,
RAW POWDERS,"POWDERS MAGNIO BISGLICINATAS, 500 mg,",120,,
ORTHOMOL,"IMMUN, kapsulės ir tabletės,",30,,
ELLIPS,"HAIR TREATMENT, tepami vitaminai pažeistiems plaukams ,",8,,
Haliborange,"Vitamin C Softies Blackcurrant, juodųjų serbentų skonio vitamino C guminukai,",30,,
FORTIVITUM,"purškiamas maisto papildas VITAMINAS D3, 13.",5,,
NUTRIVIT,"vitaminas D3, lašai visai šeimai,",50,,
VITAMINAI,"D3 IR K2 PLIUS OMEGA-3 1000,",60,,
BIO VITAMIN,"VITAMIN C + ZINC, milteliai,",14,,
VITAMIN,"C 1000 mg,",20,,
VITAMIN,"D3, 4000IU,",60,,
ASCOLIP,"liposominis vitaminas C, skystas gelis, 5 ml x",30,,
SMART,"WAY VITAMINAS B12, purškiamas maisto papildas Vitaminas B12,",30,,
OILESEN,"D3 MAX, Vitaminas D3, 8400 TV, N",12,,
RAW POWDERS,"POWDERS VITAMINO B KOMPLEKSAS,",60,,
RAW POWDERS,"POWDERS RIBOFLAVINAS (VITAMINAS B2) 100 mg,",60,,
GAMTOS,"NAMAI B GRUPĖS VITAMINŲ KOMPLEKSAS,",90,,
FOLICUM,"ACIDUM, folio rūgštis, 400 mcg,",30,,
NOBL,"NUTRITION, SPIRULINA TABLETĖS,",250,,
NOW Alpha,Alpha Lipoic Acid 100mg,120,,
RAW POWDERS,"POWDERS CHLORELLA 500 mg,",120,,
RAW POWDERS,"POWDERS ALYVUOGIŲ LAPŲ EKSTRAKTAS milteliai,",100,,
Olimp,Testoxeed,120,,
Himalaya,Asparagus (Shatavari),60,,
FERTILOVIT,"F THY, maisto papildas, kapsulės, N",90,,
ORTHOMOL,"FLAVON M, 60 kapsulių,",30,,
ORTHOMOL,"SPORT, buteliukai, kapsulės ir tabletės,",30,,
NOW EVE™,EVE™ Multivitaminai Moterims,180,,
VIRIDIAN,"SPORTS MULTI,",60,,
NOW Adam,Adam Men’s Multivitaminai,90,,
SWANSON,"L-GLUTAMINAS, 500 mg,",100,,
FOLICUM,"ACIDUM, folio rūgštis, 400 mcg,",270,,
JAMIESON,"VITA-VIM MULTI FOR KIDS, vaikams,",60,,
VITAMAX,"tirpiosios tabletės, apelsinų skonio,",20,,
RAW POWDERS,"POWDERS BIOPERINAS 10 mg,",60,,
NOW Daily,Daily Vits™,30,,
ŠVF/AC,"CORDYCEPS+, maisto papildas, N",60,,
RAW POWDERS,"POWDERS SEA MOSS 250 MG & BLADDERWRACK 250 MG,",180,,
SWANSON,"ČESNAKAS, 400mg, kapsulės,",60,,
RAW POWDERS,"POWDERS REISHI milteliai,",125,,
RAW POWDERS,"POWDERS KORĖJOS ŽENŠENIO milteliai,",125,,
WELLTEEN,"HER,",30,,
WELLKID,"SOFT JELLY,",30,,
ECHINACEA,"COMPOSITUM COSMOPLEX, tabletės, N",50,,
DOPPELHERZ,"AKTIV C + ZINC + SELEN + E DEPOT,",40,,
RAW POWDERS,"POWDERS KORĖJOS ŽENŠENIS 200 mg,",120,,
SUPERFOODS,"ODORLESS GARLIC,",50,,
RAW POWDERS,"POWDERS LION'S MANE 5:1 EKSTRAKTAS, 500 mg,",90,,
Himalaya,Amla C,60,,
DR. THEISS,"THEISS ECHINACEA FORTE, 0,756 ml/ml, geriamieji lašai (tirpalas),",50,,
RAW POWDERS,"POWDERS GINKMEDŽIO EKSTRAKTAS 3000 MG, KORĖJOS ŽENŠENIS 1000 MG,",90,,
GALIUM-HEEL,"N, geriamieji lašai (tirpalas),",30,,
DR. WOLZ,"WOLZ IMMUN SELECT SU BETA-GLIUKANAIS,",120,,
NATURA,"MEDIA SUPERPEPTAZĖ 120000 PC,",80,,
COMPLIFLORA,"IMMUNO,",30,,
IMMUNACE,"WITH ECHINACEA,",30,,
WELLKID,,30,,
BERES,"DROPS PLUS, geriamieji lašai,",30,,
HEALTHILIFE,"vitaminas D3, 400 TV,",120,,
LIFEPLAN,"VITAMIN C & ZINC, vitamino C ir cinko pastilės,",30,,
POWER,"C, 1000 mg, milteliai,",10,,
LIFEPLAN,"VEGAN VITAMIN D3, 2000TV, veganiškas vitaminas D3,",30,,
NOW C-1000,C-1000 Su Bioflavonoidais,100,,
NOW Vitaminas,Vitaminas D-3 2000 TV,120,,
NOW Vitamin,"Vitamin K-2 (MK7) 100mcg 60 Kapsulių, (",60,,
NOW Vitamin,Vitamin D-3 & K-2 120 Kapsulių (,120,,
NOW Vitaminas,Vitaminas D-3 2000 TV,240,,
NOW Vitaminas,Vitaminas D-3 2000 TV,30,,
SWANSON,"vitaminas K2, N",30,,
LIFEPLAN,"VITAMINAS D3, 400TV,",60,,
NOW Vitaminas,Vitaminas D-3 5000 TV,240,,
NOW Vitaminas,Vitaminas D-3 5000 TV,120,,
GAMTOS,"NAMAI CUMINUKAI,",50,,
GAMTOS,"NAMAI VITAMINAS D3, 1600 IU,",180,,
GAMTOS,"NAMAI VITAMINAS D3, 4000 IU,",90,,
GAMTOS,"NAMAI VITAMIN D3 FAMILY, apelsinų skonio,",60,,
GAMTOS,"NAMAI VITAMINAS D3 5000 PREMIUM,",30,,
SWANSON,"VITAMINAS K2, 100 mcg,",30,,
RAW POWDERS,"POWDERS VITAMINAS D3, 4000IU,",120,,
OMEGA,"3 + VITAMINAI D IR E, 1000 mg,",60,,
IMUNITETUI,"SU KVERCETINU,",30,,
WELLKID,"IMMUNE,",30,,
IMMUNACE,"EXTRA,",30,,
LIVOL,"EXTRA IMMUNE+,",60,,
ALOE,"PURA ALOE VERA JUICE, tikrųjų alavijų sultys,",500,,
SWANSON,"UNA DE GATO (GAURUOTOJI UNKARIJA), 500 mg,",100,,
DR. WOLZ,"WOLZ ZELL OXYGEN IMMUNKOMPLEX,",250,,
SAPIENS,"multivitaminai vaikams,",60,,
ECOSH,"KURKUMINAS, 500 mg,",90,,
LYSI,"CHILDREN'S OMEGA -3, Tutti frutti skonio su saldikliu,",60,,
DR. WOLZ,"WOLZ ZELL OXYGEN PLUS, maisto papildas,",250,,
SAMBUCUS,"KIDS,",60,,
JAMIESON,"KALCIS SU VITAMINU D3,",90,,
ISKIAL,"MAX, kapsulės, N",120,,
LIDONIUM,"715 mg,",42,,
DENMAN,D,6,,
Tonymoly,Master lab skaistinanti veido kaukė su Vit. C,0,,
JAMIESON,"VITA-VIM REGULAR MULTI, vitaminų ir mineralų kompleksas, 90 tablečių (Galioja iki 2023.09.",30,,
ELGON,"I CARE, dažantis kondicionierius, C/8 Mocha, moka kavos spalva,",200,,
BIONIKE,"TRIDERM A.D. valomasis kremas- prausiklis sausai, atopiškai odai,",500,,
CANPOL,"BABIES LUX, liemenėlė maitinančioms, 85D dydis, 26/",765,,
L'Oreal,"D/E REVITALIFT LASER, dieninis veido kremas,",50,,
MICROLET,"CONTOUR M17C2S, adata-lancetas,",200,,
DENMAN,D,90,,
DENMAN,D,90,,
SAVAIMINIO,"ĮDEGIO DULKSNA, SU IŠORINIU BRONZANTU, MEDIUM,",200,,
DENMAN,D,38,,
D-LAB,"Kapsulės, Bioflora maisto papildas",56,,
DENMAN,D,81,,
DENMAN,D,82,,
Amino,rūgštys PhD Plant BCAA,450,,
Proteinas,PhD Diet Whey,1,,
Kocostar,"skaistinanti veido kaukė Happy Mask su niacinamidu, hialuronu, vitaminais C ir E",0,,
D-LAB,"Maisto papildų kompleksas, tobulai odai Rinkinys ,,Peu-Parfaite”",0,,
BERTIL'S,"Vitaminas C, 250mg,",100,,
ORAL-B,"3D WHITE, dantų šepetėlio galvutės,",2,,
FORTIVITUM,"purškiamas maisto papildas VITAMINAS B12 + FOLIO RŪGŠTIS, 13.",5,,
DENMAN,D,12,,
DENMAN,D,12,,
Tonymoly,"Vital Vita 12 skaistinamasis veido serumas ampulėje Synergy su vitaminu C,",30,,
CLINERAL,"BY AHAVA D-MEDIC, pėdų kremas,",125,,
VITELLA,"EXTREME, vitamininis kremas,",75,,
ELGON,"I CARE, dažantis kondicionierius, C/44 Deep Copper, intensyvi vario spalva,",200,,
EFFERALGAN,"C, 330 mg/200 mg, šnypščiosios tabletės, N",20,,
VITA,"LIBERATA FABULOUS GRADUAL, laipsniško įdegio losjonas",200,,
ORAL-B,VITALITY D,100,,
NOBL,"NUTRITION ANTIOXIDANT, Astaksantinas, Antioksidantas,",60,,
ESU LAPĖ,"LAPĖ, A+D HERBA, kremas,",20,,
BIOMG,"DEAD SEA + vit. B6, B12, milteliai geriamajam tirpalui ruošti,",7,,
Lūpų,balzamas Golden Rose SPF15 Nr.,1,,
DISPOBANO,"šluostė prausimosi,",24,,
ZIAJA,Argano aliejaus apsauginis veido kremas,50,,
Golden,"Rose lūpų sviestas Cookie SPF 15,",8,,
Golden,"Rose lūpų sviestas Peach SPF 15,",8,,
DISPOWIPE,"ALOE, DRĖGNOS PRAUSIMOSI ŠLUOSTĖS XXL, 36 x 20 CM,",40,,
URBAN,"FOOD milteliai BUROKĖLIŲ MILTELIAI - EKOLOGIŠKI,",100,,
GLOWET,"Pirštinė prausimosi drėgna,",8,,
RAW POWDERS,"POWDERS CHOLINO BITARTRATO milteliai,",250,,
EQUA,"gertuvė TIMELESS OFF-WHITE 600 ml.,",1,,
EQUA,"gertuvė MISMATCH SAND SKY 750 ml,",1,,
Migdolų,"riešutų nerafinuotas aliejus,",100,,
Olimp,Redweiler Kolos Skonio,480,,
DRIU,"BEAUTY veido kremas sausai odai,",45,,
Lūpų,balzamas Golden Rose SPF15 Nr.,2,,
EQUA,"termo gertuvė TERMO SNOW WHITE, nerūdijantis plienas,",1,,
DISPOFARMA,"Šluostė prausimosi su ramunėlių ir kalendros ekstaktu,",10,,
Ziaja,apelsinų sviesto lūpų balzamas,10,,
YOPE,"Natūrali dušo želė “Žiemos Uogos”,",400,,
EQUA,"gertuvė TIMELESS MATCHA 600 ml.,",1,,
VITELLA,"U NUTRILOTIO, losjonas,",120,,
NEUREXAN,"tabletės, N",50,,
ARTROSTAW,,30,,
Yope,"WOOD drėkinanti dušo želė su gvajoko ekstraktu,",400,,
FRIENDLY,"SOAP natūralus rankų darbo veido muilas su sviestmedžiu „Shea Butter"",",95,,
SALVENA,"NEGYVOJI JŪRA, druska voniai,",1200,,
bioKALCIS,"1200 mg + FOSFORAS + VITAMINAI K ir D, milteliai pakeliuose,",15,,
LIFEPLAN,"HONEYC FOR IMMUNITY, medaus kapsulės su cinku ir vitaminu C,",60,,
DR. WOLZ,"WOLZ KINDERIMMUN, milteliai,",30,,
DR. WOLZ,"WOLZ KINDERIMMUN, milteliai,",65,,
BF-ESSE,"IMMUNECO,",30,,
APIGLUKAN,"IMUNO MAX sirupas,",100,,
APIVIT,"multi sirupas,",100,,
LIFEPLAN,"CORDYCEPS 480mg, kininis kordicepsas,",60,,
YOU&OIL,BEAUTY SHOT. VEIDO SERUMAS. VITAMINAI,10,,
BERRYWELL,"LIFEPLAN, šeivamedžių ekstraktas,",60,,
HairBurst,"maisto papildas, vitaminai sveikiems plaukams,",60,,
BRONHI,"med medus su propolio ekstraktu ir čiobrelių tinktūra,",210,,
KIDS-IMUNITETAS,,10,,
BIOPILLS,"IMMUNO SUPERIOR,",30,,
NOW Biotin,"Biotin 5000mcg 60 Kapsulių, (",60,,
NOW Česnakų,Česnakų Aliejus 1500mg,250,,
NOW Česnakų,Česnakų Aliejus 1500mg,100,,
DR. WOLZ,"WOLZ VITALCOMPLEX,",500,,
GAMTOS,"NAMAI IMMUNITY, skystasis maisto papildas, 14 buteliukų po",25,,
100%,"REISHI, GRYBAS,",60,,
RAW POWDERS,"POWDERS OMEGA-3,",120,,
RAW POWDERS,"POWDERS AVIEČIŲ KETONAS 500 mg,",60,,
RAW POWDERS,"POWDERS KORDICEPSAS 750 mg,",90,,
RAW POWDERS,"POWDERS SEA MOSS 250 MG & BLADDERWRACK 250 MG,",90,,
RAW POWDERS,"POWDERS ACAI UOGŲ milteliai,",100,,
RAW POWDERS,"POWDERS KORDICEPSO milteliai,",125,,
GO POWDERS,"POWDERS GABA, 500 mg,",100,,
RAW POWDERS,"POWDERS ARGININO ALFA-KETOGLUTARATO (AAKG) milteliai,",250,,
SWANSON,"berberinas, natūralus, kapsulės, N",60,,
ŠVF PERŠALIMO,"PERŠALIMO SEZONUI. ežiuolė mikrogranulėse, kapsulės, N",45,,
GAMTOS,"NAMAI BACTO KIDS,",60,,
NOW Pau,Pau D'Arco 500 mg,100,,
NOW Pau,Pau D'Arco 500 mg,250,,
WALMARK,"MARSIEČIAI GUMINUKAI, komplektas su laikroduku, 2xN",50,,
SWANSON,"LION'S MANE (Liūto Karčiai), 500 mg,",60,,
RAW POWDERS,"POWDERS GOTU KOLA, 475 mg,",90,,
RAW POWDERS,"POWDERS MULTIVITAMINAI IR MINERALAI,",90,,
Masažinis,"aliejus su vitaminais,",500,,
CALCI,"STRONG + D3 + MG,",150,,
SAVAIMINIO,"ĮDEGIO DULKSNA, SKAIDRI, MEDIUM,",200,,
MARTIDERM,"PROTEOS HYDRA PLUS SPF, drėkinamosios ir stangrinamosios veido ampulės su vitaminu C, proteoglikanais ir SPF15,",10,,
MARTIDERM,"PROTEOS HYDRA PLUS, drėkinamosios ir stangrinamosios veido ampulės su vitaminu C ir proteoglikanais,",10,,
CANPOL,"BABIES LUX, liemenėlė maitinančioms, 85C dydis, 26/",761,,
CANPOL,"BABIES LUX, liemenėlė maitinančioms, 80C dydis, 26/",760,,
YOU&OIL,VITAMININIS VEIDO SERUMAS. MAITINIMAS IR ENERGIJA VISŲ TIPŲ ODAI,30,,
IRON+VITAMINS,"B&C, LIFEPLAN, geležies kompleksas,",150,,
LR wonder,wonder company drėkinamasis veido gelis su vitaminu E,30,,
SESDERMA,"SES-MEDICAL, gaivinamoji kaukė su vit.C lakštinė,",1,,
ORAL-B,"VITALITY D100 + VITALITY STAR WARS, elektrinis dantų šepetėlis, 1+",1,,
Tonymoly,"I'm Real lakštinė vitaminų veido kaukė Acerola,",21,,
Tonymoly,"Vital Vita 12 raminamasis veido serumas ampulėje Calming,",30,,
Tonymoly,"Vital Vita 12 stiprus stangrinamasis veido serumas su vitaminu A Firming,",30,,
LANVIN,"ECLAT D'ARPEGE, parfumuotas vanduo moterims,",100,,
Dr. Brandt,"Brandt, Putlinantis, lyginamasis, kontūrą išryškinantis lūpų balzamas 3-D LIP PLUMPFIX. 0.155 oz. / 4.",4,,
SUPER,"CLASSICO, apsauginiai ausų kamštukai, 35dB,",2,,
Casmara,Power Lift 4D Super Concentrate/super koncentratas,30,,
Casmara,Vitamin Tan Optimizer SPF 50 – sausas aliejus kūnui,200,,
DENMAN,D3 Original Styler,7,,
DENMAN,D4 Original Styler,9,,
DENMAN,D14 Mini Styler,4,,
DENMAN,D,83,,
DENMAN,D,91,,
DENMAN,D,200,,
DENMAN,D,200,,
DENMAN,D,81,,
DENMAN,D,82,,
DENMAN,D,93,,
DENMAN,D,93,,
DENMAN,D,17,,
DENMAN,D,27,,
HAIRTWO,"purškiamas plaukų serumas 3D BIO-BOOST, 100 ml+specialus purkštuvas,",1,,
Proteinas,PhD Diet Whey,1,,
Proteinas,PhD Diet Whey,1,,
Proteinas,PhD Diet Whey,2,,
Proteinas,PhD Diet Whey,2,,
Riebalų,degintojas PhD Burn Pre-WKT Rūgščių Obuolių Skonio,200,,
Riebalų,degintojas PhD Burn Pre-WKT Sherbeto Citrinos Skonio,200,,
Energetinis,gėrimas prieš treniruotę PhD Charge Pre Workout,300,,
